,	27201
的	19866
。	14895
、	10298
国	9363
中	8524
1	7644
年	5838
为	5765
0	5656
在	5539
学	5339
一	5059
是	4991
人	4757
和	4690
有	4573
2	4338
9	4169
大	4085
以	3517
地	3105
民	3075
会	3039
于	3021
上	2805
成	2659
时	2629
个	2528
主	2513
政	2450
不	2433
了	2425
发	2409
5	2385
(	2369
)	2366
3	2338
理	2302
之	2301
4	2239
后	2229
与	2206
8	2201
行	2137
而	2120
等	2109
家	2105
分	2097
6	2097
其	2090
经	2069
代	2061
7	2040
用	2033
海	2010
产	1982
方	1944
生	1918
作	1912
共	1903
多	1870
文	1858
东	1856
对	1850
日	1850
法	1837
出	1836
自	1793
i	1775
南	1724
统	1693
部	1680
数	1667
化	1642
到	1634
及	1626
开	1616
系	1616
教	1614
来	1606
并	1588
这	1587
n	1587
e	1585
区	1584
同	1584
月	1577
也	1568
省	1566
要	1563
山	1528
.	1509
西	1497
全	1491
北	1477
现	1459
由	1447
定	1438
可	1437
本	1418
公	1410
物	1409
最	1402
a	1401
体	1397
业	1397
动	1383
立	1373
义	1371
华	1347
市	1322
o	1322
期	1317
世	1315
他	1303
所	1297
党	1285
内	1284
能	1277
过	1274
军	1267
高	1250
「	1238
外	1235
论	1224
」	1206
“	1201
”	1196
济	1183
第	1180
社	1178
种	1176
制	1159
建	1157
进	1154
;	1150
实	1136
《	1135
长	1134
》	1134
被	1133
族	1129
重	1122
治	1121
科	1118
平	1116
使	1109
工	1087
者	1083
机	1082
研	1081
子	1078
名	1077
r	1073
位	1067
计	1067
如	1066
府	1060
此	1056
间	1054
前	1052
通	1052
究	1051
战	1043
因	1039
展	1036
面	1027
新	1018
都	1014
性	1005
尔	1003
力	999
度	998
量	998
或	997
下	995
得	992
式	991
至	987
称	986
入	983
合	981
基	979
元	975
t	962
关	942
:	939
亚	934
领	933
程	927
%	923
然	921
表	909
史	906
电	898
原	893
相	892
口	889
则	888
类	886
三	885
斯	885
总	879
认	877
些	865
州	864
德	862
当	861
界	859
台	859
广	857
u	856
事	851
语	844
l	842
始	838
常	838
天	835
特	834
次	833
朝	831
明	829
孙	826
心	825
万	824
但	823
提	812
s	802
河	799
-	795
设	789
从	786
各	781
利	771
起	769
加	760
将	750
员	747
改	742
影	737
古	726
运	716
里	716
历	715
江	707
域	699
包	699
十	698
二	696
形	694
达	691
著	688
组	688
水	687
美	686
结	681
场	674
汉	671
路	667
权	666
h	664
解	659
比	656
资	655
占	653
革	646
·	643
命	641
术	640
安	639
正	637
就	636
联	632
道	627
两	617
算	615
帝	614
应	612
传	603
宗	600
件	597
医	592
小	591
约	591
城	589
质	588
变	587
们	585
说	580
意	577
级	576
源	575
观	573
据	572
际	569
c	568
纪	564
布	563
尼	562
四	550
更	550
流	548
括	547
阿	546
m	545
增	543
交	543
院	541
言	539
构	538
争	533
题	533
已	530
线	530
书	528
议	527
目	525
马	524
育	522
商	518
问	518
还	517
今	516
金	516
例	509
集	507
S	505
五	504
巴	503
持	501
受	500
处	499
导	499
L	498
保	496
许	496
任	495
少	494
指	493
且	492
游	492
无	486
思	485
清	484
即	479
林	479
别	478
直	477
向	477
陆	477
星	477
规	477
王	475
信	466
d	465
音	460
接	456
属	455
较	450
京	450
岛	448
近	447
点	445
乐	444
先	444
器	440
放	440
取	439
划	439
务	438
技	436
央	435
县	435
湾	434
反	434
克	432
管	432
周	431
视	431
存	431
格	429
x	429
品	428
决	427
列	427
支	427
图	426
苏	422
演	421
阳	419
条	419
农	418
核	417
响	416
神	412
验	412
首	410
土	409
早	408
均	408
它	407
港	406
太	405
G	405
强	404
字	403
造	403
模	399
象	398
非	398
委	398
很	396
活	395
洲	393
想	393
张	392
境	390
英	390
型	390
门	389
武	386
往	386
记	379
具	377
派	377
气	377
知	374
另	373
居	373
球	373
复	372
拉	372
